Riding,PC,NDP,Liberal,Green,Other,Total,PC_Share,NDP_Share,Liberal_Share,Green_Share,Other_Share,Swing_PC,Swing_NDP,Swing_Liberal,Swing_Green,Swing_Other,Predicted_PC_Share,Predicted_NDP_Share,Predicted_Liberal_Share,Predicted_Green_Share,Predicted_Other_Share,Total_Predicted,Predicted_Winner,Win_Probability,margin
Kitchener—Conestoga,15045,10851,6590,2315,2724,37589,0.40025007315970096,0.2886748782888611,0.17531724706696108,0.06158716645827237,0.07246800925802761,0.02425289467179582,-0.038926360099047,0.059406240599432,0.005270937828935526,,0.4350159647308149,0.25593364667254603,0.24053651486532998,0.06851387373130918,,0.9758330779749118,PC,1.0,17.908231805826887
Kitchener South—Hespeler,13768,9118,5629,3993,1988,34496,0.39911873840445267,0.2643205009276438,0.16317833951762523,0.11575255102040816,0.05762987012987013,0.020741242807818895,-0.03961237241704525,0.04753472223511862,0.021153354233723026,,0.4231661458402913,0.2264775804692377,0.212372310317985,0.13798396337248608,,0.9921870767297452,PC,1.0,19.66885653710536
Lambton—Kent—Middlesex,24933,7987,4063,1688,3428,42399,0.588056322083068,0.1883770843651973,0.09582773178612704,0.039812259723106674,0.08085096346611949,-0.1288174557491138,-0.03461422099240914,0.004215402974161654,0.001830531892902304,,0.6085151421681967,0.203743710571396,0.1325623043571826,0.05517884290322476,,0.75468765608304,PC,1.0,40.47714315968007
Lanark—Frontenac—Kingston,22142,9146,6962,2982,2629,44185,0.5011202896910716,0.20699332352608352,0.1575647844291049,0.06748896684395157,0.059499830259137715,-0.010082987024810953,-0.03252795736925221,0.04707942648811697,-0.004679840623416495,,0.5263241776985429,0.1870027793830963,0.21935033335945928,0.06732270955890159,,0.9329560059608488,PC,1.0,30.697384433908358
Leeds—Grenville—Thousand Islands and Rideau Lakes,24657,5799,7746,2583,1480,42744,0.5768528916339135,0.13566816395283549,0.18121841661987648,0.060429533969679955,0.034624742653939736,-0.10022338998017889,-0.03813928984918871,0.054191925340025524,0.003587030566080453,,0.5456015701460427,0.1116420755763104,0.26947608521146393,0.07328026906618292,,0.8735852822530439,PC,1.0,27.61254849345788
London—Fanshawe,11224,16123,3553,1200,1611,34260,0.32761237594862813,0.4706071220081728,0.10370694687682429,0.03502626970227671,0.04702276707530648,0.04758019570860521,-0.02856975836934958,-0.01052285647820833,-0.0078527710813322,,0.400168050370659,0.47146250581937305,0.09938708438621213,0.028982359423755707,,0.9375875243156171,NDP,0.966,7.1294455448714045
London North Centre,13051,17082,9013,2064,1568,43085,0.3029128466983869,0.39647209005454337,0.20919113380526866,0.04790530346988511,0.0363931762794476,0.03422173463060543,-0.01160175350804829,0.025405897671239783,0.001634839766682732,,0.33507651037799785,0.3825208580194826,0.23316491100471332,0.049237720597806296,,1.0061420925885636,NDP,0.886,4.744434764148475
London West,16886,22510,6077,1713,1798,49882,0.33851890461489115,0.4512649853654625,0.12182751293051602,0.034341044865883484,0.03604506635660158,0.03950709657851796,-0.007408768839993765,-0.008772570887669806,-0.007058380379348946,,0.39286864775286123,0.4612835916909473,0.11749388153707106,0.02835387901912053,,0.9622198242482585,NDP,0.944,6.841494393808606
Markham—Stouffville,21176,4137,15512,1723,1175,43723,0.4843217528531894,0.09461839306543467,0.3547789492944217,0.03940717700066327,0.02687372778629097,0.0014391501933363592,-0.03866967892458249,0.03310094342828491,-0.0005029154000875183,,0.5015632700340799,0.05776879086541068,0.4004980766347006,0.04016986246580888,,0.9684937715106603,PC,0.993,10.106519339937925
Markham—Thornhill,14011,2597,10763,733,376,28699,0.4882051639429945,0.09049095787309662,0.3750304888672079,0.025540959615317608,0.013101501794487613,0.02841618397600308,-0.037326710922822734,0.03722503505450978,0.0014656813664689575,,0.5119889944905421,0.052687542720718954,0.4085589804139223,0.026764482374816535,,1.0090477597727758,PC,0.995,10.343001407661983
Markham—Unionville,19985,2579,10774,1299,785,35422,0.5641973914516403,0.07280785952233075,0.3041612557167862,0.03667212466828525,0.022161368640957597,-0.014601463241537289,-0.04001129665311583,0.04352813769585102,-0.008763560045268803,,0.5736966675584717,0.034234749312494345,0.36293617930517574,0.029132403823858,,0.9579904491149717,PC,1.0,21.076048825329597
